driving_distance,from_center,to_center
357.35,BLATP,GKSTP
586.94,BLATP,GNBTP
1347.96,BLATP,HBSTP
184.13,BLATP,NLBTP
39.16,BLATP,BANTP
1276.6,BLATP,CZATP
725.34,BLATP,GBYOR
594.54,BLATP,GHGTP
675.16,BLATP,GLPTP
471.71,BLATP,GNDOR
1601.24,BLATP,HDBTP
114.59,BLATP,NMSTP
1279.58,BLATP,CZMTP
783.29,BLATP,GDRTP
447.73,BLATP,GHMTP
652.21,BLATP,GLUTP
747.01,BLATP,GNOOR
1416.61,BLATP,HPCTP
185.05,BLATP,NNYTP
28.98,BLATP,BBRTP
138.21,BLATP,GAKTP
194.45,BLATP,GDUTP
481.87,BLATP,GHOTP
410.47,BLATP,GMATP
227.16,BLATP,GNWOR
1515.62,BLATP,HSZTP
143.85,BLATP,NRDTP
970.59,GBBTP,AGATP
267.88,GBBTP,BGETP
590.16,GBBTP,GAUTP
19.36,GBBTP,GESTP
335.54,GBBTP,GHSTP
650.34,GBBTP,GMHTP
439.49,GBBTP,GOSOR
1195.87,GBBTP,HUNOR
236.58,GBBTP,NRSTP
751.23,GBBTP,AIBTP
241.83,GBBTP,BLATP
0,GBBTP,GBBTP
277.61,GBBTP,GFDTP
367.94,GBBTP,GJETP
265.21,GBBTP,GMIOR
274.23,GBBTP,LLXTP
186.41,GBBTP,NUTTP
186.41,GBBTP,NUWTP
999.27,GBBTP,AKTTP
223.13,GBBTP,BLETP
223.13,GBBTP,BLMTP
513.72,GBBTP,GBCTP
264.65,GBBTP,GFMTP
438.18,GBBTP,GKITP
653.91,GBBTP,GMLTP
525.86,GBBTP,GROTP
214.74,GBBTP,NAETP
1065.21,GBBTP,SLOTP
807.96,GBBTP,AOETP
191.21,GBBTP,BLGTP
504.78,GBBTP,GBETP
504.74,GBBTP,GFRTP
88.93,GBBTP,GKKTP
82.53,GBBTP,GMNTP
442.06,GBBTP,GSTTP
223.21,GBBTP,NAVTP
809.12,GBBTP,AOLTP
1152.04,GBBTP,CHROR
244.2,GBBTP,GBMTP
183.89,GBBTP,GGITP
88.93,GBBTP,GKLTP
186.68,GBBTP,GMRTP
478.74,GBBTP,GTUTP
221.74,GBBTP,NAMTP
221.74,GBBTP,NAWTP
969.42,GBBTP,AWDTP
1433.9,GBBTP,COSTP
116.68,GBBTP,GBOTP
394.91,GBBTP,GHATP
83.07,GBBTP,GKMTP
253.33,GBBTP,GMZTP
378.12,GBBTP,GWZTP
257.43,GBBTP,NGRTP
971.17,GBBTP,AWGTP
1165.59,GBBTP,CRITP
439.5,GBBTP,GBWOR
327.9,GBBTP,GHBTP
322.12,GBBTP,GKSTP
460.49,GBBTP,GNBTP
1199.44,GBBTP,HBSTP
237.88,GBBTP,NLBTP
217.23,GBBTP,BANTP
1150.15,GBBTP,CZATP
653.91,GBBTP,GBYOR
353.04,GBBTP,GHGTP
436.14,GBBTP,GLPTP
237.62,GBBTP,GNDOR
1452.72,GBBTP,HDBTP
154.1,GBBTP,NMSTP
1153.13,GBBTP,CZMTP
539.57,GBBTP,GDRTP
208.7,GBBTP,GHMTP
410.71,GBBTP,GLUTP
512.93,GBBTP,GNOOR
1290.16,GBBTP,HPCTP
130.71,GBBTP,NNYTP
264.18,GBBTP,BBRTP
138.79,GBBTP,GAKTP
63.29,GBBTP,GDUTP
247.78,GBBTP,GHOTP
320.4,GBBTP,GMATP
17.31,GBBTP,GNWOR
1367.1,GBBTP,HSZTP
238.45,GBBTP,NRDTP
697.72,GFDTP,AGATP
534.28,GFDTP,BGETP
336.81,GFDTP,GAUTP
295.62,GFDTP,GESTP
257.31,GFDTP,GHSTP
377.46,GFDTP,GMHTP
296.81,GFDTP,GOSOR
945.07,GFDTP,HUNOR
509.48,GFDTP,NRSTP
505.58,GFDTP,AIBTP
476.82,GFDTP,BLATP
279.3,GFDTP,GBBTP
0,GFDTP,GFDTP
195.71,GFDTP,GJETP
143.83,GFDTP,GMIOR
342.13,GFDTP,LLXTP
459.31,GFDTP,NUTTP
459.31,GFDTP,NUWTP
726.4,GFDTP,AKTTP
458.12,GFDTP,BLETP
458.12,GFDTP,BLMTP
445.96,GFDTP,GBCTP
101.95,GFDTP,GFMTP
504.54,GFDTP,GKITP
391.43,GFDTP,GMLTP
581.26,GFDTP,GROTP
487.64,GFDTP,NAETP
792.34,GFDTP,SLOTP
535.09,GFDTP,AOETP
404.68,GFDTP,BLGTP
437.02,GFDTP,GBETP
367.81,GFDTP,GFRTP
274.14,GFDTP,GKKTP
304.65,GFDTP,GMNTP
254.55,GFDTP,GSTTP
496.11,GFDTP,NAVTP
536.25,GFDTP,AOLTP
879.17,GFDTP,CHROR
376.56,GFDTP,GBMTP
118.84,GFDTP,GGITP
274.14,GFDTP,GKLTP
100.15,GFDTP,GMRTP
303.73,GFDTP,GTUTP
494.64,GFDTP,NAMTP
494.64,GFDTP,NAWTP
696.55,GFDTP,AWDTP
1161.03,GFDTP,COSTP
280.34,GFDTP,GBOTP
281.89,GFDTP,GHATP
262.88,GFDTP,GKMTP
142.8,GFDTP,GMZTP
106.63,GFDTP,GWZTP
459.45,GFDTP,NGRTP
698.3,GFDTP,AWGTP
892.71,GFDTP,CRITP
251.99,GFDTP,GBWOR
190.96,GFDTP,GHBTP
216.56,GFDTP,GKSTP
186.45,GFDTP,GNBTP
948.64,GFDTP,HBSTP
510.78,GFDTP,NLBTP
483.64,GFDTP,BANTP
877.28,GFDTP,CZATP
391.43,GFDTP,GBYOR
419.39,GFDTP,GHGTP
293.9,GFDTP,GLPTP
262.76,GFDTP,GNDOR
1201.92,GFDTP,HDBTP
378,GFDTP,NMSTP
880.26,GFDTP,CZMTP
368.83,GFDTP,GDRTP
123.78,GFDTP,GHMTP
466.12,GFDTP,GLUTP
445.17,GFDTP,GNOOR
1017.29,GFDTP,HPCTP
403.85,GFDTP,NNYTP
499.17,GFDTP,BBRTP
348.23,GFDTP,GAKTP
303.06,GFDTP,GDUTP
262.93,GFDTP,GHOTP
183.47,GFDTP,GMATP
293.57,GFDTP,GNWOR
1116.3,GFDTP,HSZTP
511.36,GFDTP,NRDTP
681.29,GJETP,AGATP
673.23,GJETP,BGETP
356.01,GJETP,GAUTP
384.35,GJETP,GESTP
444.87,GJETP,GHSTP
374.06,GJETP,GMHTP
97.13,GJETP,GOSOR
797.11,GJETP,HUNOR
598.21,GJETP,NRSTP
540.97,GJETP,AIBTP
610.85,GJETP,BLATP
368.03,GJETP,GBBTP
195.9,GJETP,GFDTP
0,GJETP,GJETP
331.39,GJETP,GMIOR
512.84,GJETP,LLXTP
548.04,GJETP,NUTTP
548.04,GJETP,NUWTP
722.99,GJETP,AKTTP
592.15,GJETP,BLETP
592.15,GJETP,BLMTP
246.28,GJETP,GBCTP
297.25,GJETP,GFMTP
513.09,GJETP,GKITP
388.02,GJETP,GMLTP
439.71,GJETP,GROTP
576.37,GJETP,NAETP
788.93,GJETP,SLOTP
518.66,GJETP,AOETP
538.7,GJETP,BLGTP
237.34,GJETP,GBETP
554.86,GJETP,GFRTP
408.17,GJETP,GKKTP
393.38,GJETP,GMNTP
378.49,GJETP,GSTTP
584.84,GJETP,NAVTP
519.82,GJETP,AOLTP
862.74,GJETP,CHROR
385.12,GJETP,GBMTP
252.87,GJETP,GGITP
408.17,GJETP,GKLTP
234.18,GJETP,GMRTP
427.68,GJETP,GTUTP
583.37,GJETP,NAMTP
583.37,GJETP,NAWTP
654.4,GJETP,AWDTP
1035.97,GJETP,COSTP
406.36,GJETP,GBOTP
103.13,GJETP,GHATP
396.9,GJETP,GKMTP
322.35,GJETP,GMZTP
230.57,GJETP,GWZTP
548.18,GJETP,NGRTP
607.68,GJETP,AWGTP
889.31,GJETP,CRITP
375.93,GJETP,GBWOR
378.02,GJETP,GHBTP
404.13,GJETP,GKSTP
228.74,GJETP,GNBTP
800.67,GJETP,HBSTP
599.51,GJETP,NLBTP
582.22,GJETP,BANTP
860.85,GJETP,CZATP
388.02,GJETP,GBYOR
427.95,GJETP,GHGTP
94.22,GJETP,GLPTP
271.18,GJETP,GNDOR
1053.96,GJETP,HDBTP
512.03,GJETP,NMSTP
863.83,GJETP,CZMTP
181.54,GJETP,GDRTP
194.14,GJETP,GHMTP
491.45,GJETP,GLUTP
245.49,GJETP,GNOOR
1009.29,GJETP,HPCTP
492.58,GJETP,NNYTP
633.2,GJETP,BBRTP
482.26,GJETP,GAKTP
411.25,GJETP,GDUTP
271.49,GJETP,GHOTP
370.53,GJETP,GMATP
382.29,GJETP,GNWOR
968.34,GJETP,HSZTP
600.08,GJETP,NRDTP
749.88,GMIOR,AGATP
427.59,GMIOR,BGETP
357.05,GMIOR,GAUTP
244.86,GMIOR,GESTP
117.33,GMIOR,GHSTP
429.63,GMIOR,GMHTP
432.46,GMIOR,GOSOR
997.24,GMIOR,HUNOR
429.85,GMIOR,NRSTP
518.12,GMIOR,AIBTP
370.13,GMIOR,BLATP
259.43,GMIOR,GBBTP
145.27,GMIOR,GFDTP
331.36,GMIOR,GJETP
0,GMIOR,GMIOR
200.21,GMIOR,LLXTP
402.79,GMIOR,NUTTP
402.79,GMIOR,NUWTP
778.57,GMIOR,AKTTP
351.43,GMIOR,BLETP
351.43,GMIOR,BLMTP
581.62,GMIOR,GBCTP
44.21,GMIOR,GFMTP
627.68,GMIOR,GKITP
420.8,GMIOR,GMLTP
704.41,GMIOR,GROTP
431.12,GMIOR,NAETP
844.5,GMIOR,SLOTP
587.25,GMIOR,AOETP
272.6,GMIOR,BLGTP
572.67,GMIOR,GBETP
271.63,GMIOR,GFRTP
190.66,GMIOR,GKKTP
331.48,GMIOR,GMNTP
208.95,GMIOR,GSTTP
439.59,GMIOR,NAVTP
588.42,GMIOR,AOLTP
931.34,GMIOR,CHROR
493.14,GMIOR,GBMTP
101.72,GMIOR,GGITP
190.66,GMIOR,GKLTP
136.96,GMIOR,GMRTP
245.63,GMIOR,GTUTP
438.12,GMIOR,NAMTP
438.12,GMIOR,NAWTP
748.71,GMIOR,AWDTP
1213.19,GMIOR,COSTP
168.07,GMIOR,GBOTP
417.54,GMIOR,GHATP
185.4,GMIOR,GKMTP
5.49,GMIOR,GMZTP
157.41,GMIOR,GWZTP
487.67,GMIOR,NGRTP
750.46,GMIOR,AWGTP
944.88,GMIOR,CRITP
206.39,GMIOR,GBWOR
94.79,GMIOR,GHBTP
76.58,GMIOR,GKSTP
239.78,GMIOR,GNBTP
1000.8,GMIOR,HBSTP
454.26,GMIOR,NLBTP
376.94,GMIOR,BANTP
929.44,GMIOR,CZATP
420.8,GMIOR,GBYOR
542.54,GMIOR,GHGTP
429.55,GMIOR,GLPTP
385.91,GMIOR,GNDOR
1254.09,GMIOR,HDBTP
271.31,GMIOR,NMSTP
932.43,GMIOR,CZMTP
504.48,GMIOR,GDRTP
246.93,GMIOR,GHMTP
589.27,GMIOR,GLUTP
580.82,GMIOR,GNOOR
1069.45,GMIOR,HPCTP
324.29,GMIOR,NNYTP
392.48,GMIOR,BBRTP
241.54,GMIOR,GAKTP
223.5,GMIOR,GDUTP
386.08,GMIOR,GHOTP
87.3,GMIOR,GMATP
246.82,GMIOR,GNWOR
1168.47,GMIOR,HSZTP
430.72,GMIOR,NRDTP
942.4,LLXTP,AGATP
269.46,LLXTP,BGETP
459.37,LLXTP,GAUTP
259.74,LLXTP,GESTP
130.94,LLXTP,GHSTP
536.02,LLXTP,GMHTP
616.38,LLXTP,GOSOR
1189.75,LLXTP,HUNOR
346.67,LLXTP,NRSTP
620.43,LLXTP,AIBTP
206.29,LLXTP,BLATP
273.93,LLXTP,GBBTP
343.12,LLXTP,GFDTP
515.28,LLXTP,GJETP
204.84,LLXTP,GMIOR
0,LLXTP,LLXTP
372.47,LLXTP,NUTTP
372.47,LLXTP,NUWTP
885.19,LLXTP,AKTTP
222.81,LLXTP,BLETP
222.81,LLXTP,BLMTP
765.54,LLXTP,GBCTP
241.54,LLXTP,GFMTP
701.62,LLXTP,GKITP
523.12,LLXTP,GMLTP
796.21,LLXTP,GROTP
392.3,LLXTP,NAETP
951.13,LLXTP,SLOTP
779.77,LLXTP,AOETP
161.33,LLXTP,BLGTP
756.98,LLXTP,GBETP
311.45,LLXTP,GFRTP
193.29,LLXTP,GKKTP
345.98,LLXTP,GMNTP
313.2,LLXTP,GSTTP
405.56,LLXTP,NAVTP
780.93,LLXTP,AOLTP
1086.08,LLXTP,CHROR
507.65,LLXTP,GBMTP
269.54,LLXTP,GGITP
193.29,LLXTP,GKLTP
305.96,LLXTP,GMRTP
347.95,LLXTP,GTUTP
405.53,LLXTP,NAMTP
405.53,LLXTP,NAWTP
941.23,LLXTP,AWDTP
1367.09,LLXTP,COSTP
210.49,LLXTP,GBOTP
601.46,LLXTP,GHATP
200.14,LLXTP,GKMTP
202.71,LLXTP,GMZTP
355.26,LLXTP,GWZTP
525.41,LLXTP,NGRTP
942.98,LLXTP,AWGTP
1051.51,LLXTP,CRITP
313.44,LLXTP,GBWOR
250.35,LLXTP,GHBTP
164.72,LLXTP,GKSTP
437.64,LLXTP,GNBTP
1193.32,LLXTP,HBSTP
387.95,LLXTP,NLBTP
242.98,LLXTP,BANTP
1083.05,LLXTP,CZATP
523.12,LLXTP,GBYOR
616.48,LLXTP,GHGTP
613.47,LLXTP,GLPTP
484.36,LLXTP,GNDOR
1446.6,LLXTP,HDBTP
191.41,LLXTP,NMSTP
1086.03,LLXTP,CZMTP
688.4,LLXTP,GDRTP
430.85,LLXTP,GHMTP
681.07,LLXTP,GLUTP
764.74,LLXTP,GNOOR
1261.97,LLXTP,HPCTP
323.52,LLXTP,NNYTP
237.3,LLXTP,BBRTP
199.05,LLXTP,GAKTP
226.15,LLXTP,GDUTP
494.53,LLXTP,GHOTP
232.07,LLXTP,GMATP
261.7,LLXTP,GNWOR
1360.98,LLXTP,HSZTP
347.67,LLXTP,NRDTP
1112.27,NUTTP,AGATP
1112.27,NUWTP,AGATP
183.81,NUTTP,BGETP
183.81,NUWTP,BGETP
731.84,NUTTP,GAUTP
731.84,NUWTP,GAUTP
177.8,NUTTP,GESTP
177.8,NUWTP,GESTP
453.55,NUTTP,GHSTP
453.55,NUWTP,GHSTP
792.01,NUTTP,GMHTP
792.01,NUWTP,GMHTP
600.48,NUTTP,GOSOR
600.48,NUWTP,GOSOR
1359.62,NUTTP,HUNOR
1359.62,NUWTP,HUNOR
63.34,NUTTP,NRSTP
63.34,NUWTP,NRSTP
892.9,NUTTP,AIBTP
892.9,NUWTP,AIBTP
170.29,NUTTP,BLATP
170.29,NUWTP,BLATP
189.12,NUTTP,GBBTP
189.12,NUWTP,GBBTP
461.85,NUTTP,GFDTP
461.85,NUWTP,GFDTP
552.19,NUTTP,GJETP
552.19,NUWTP,GJETP
406.89,NUTTP,GMIOR
406.89,NUWTP,GMIOR
370.19,NUTTP,LLXTP
370.19,NUWTP,LLXTP
0,NUTTP,NUTTP
0,NUTTP,NUWTP
0,NUWTP,NUTTP
0,NUWTP,NUWTP
1140.95,NUTTP,AKTTP
1140.95,NUWTP,AKTTP
185.35,NUTTP,BLETP
185.35,NUTTP,BLMTP
185.35,NUWTP,BLETP
185.35,NUWTP,BLMTP
627.93,NUTTP,GBCTP
627.93,NUWTP,GBCTP
406.32,NUTTP,GFMTP
406.32,NUWTP,GFMTP
524.96,NUTTP,GKITP
524.96,NUWTP,GKITP
795.58,NUTTP,GMLTP
795.58,NUWTP,GMLTP
612.63,NUTTP,GROTP
612.63,NUWTP,GROTP
41.43,NUTTP,NAETP
41.43,NUWTP,NAETP
1206.88,NUTTP,SLOTP
1206.88,NUWTP,SLOTP
949.64,NUTTP,AOETP
949.64,NUWTP,AOETP
217.39,NUTTP,BLGTP
217.39,NUWTP,BLGTP
619.38,NUTTP,GBETP
619.38,NUWTP,GBETP
646.42,NUTTP,GFRTP
646.42,NUWTP,GFRTP
231.14,NUTTP,GKKTP
231.14,NUWTP,GKKTP
196.76,NUTTP,GMNTP
196.76,NUWTP,GMNTP
583.73,NUTTP,GSTTP
583.73,NUWTP,GSTTP
49.9,NUTTP,NAVTP
49.9,NUWTP,NAVTP
950.8,NUTTP,AOLTP
950.8,NUWTP,AOLTP
1293.72,NUTTP,CHROR
1293.72,NUWTP,CHROR
330.98,NUTTP,GBMTP
330.98,NUWTP,GBMTP
372.46,NUTTP,GGITP
372.46,NUWTP,GGITP
231.14,NUTTP,GKLTP
231.14,NUWTP,GKLTP
408.88,NUTTP,GMRTP
408.88,NUWTP,GMRTP
620.41,NUTTP,GTUTP
620.41,NUWTP,GTUTP
52.84,NUTTP,NAMTP
52.84,NUTTP,NAWTP
52.84,NUWTP,NAMTP
52.84,NUWTP,NAWTP
1111.1,NUTTP,AWDTP
1111.1,NUWTP,AWDTP
1575.57,NUTTP,COSTP
1575.57,NUWTP,COSTP
258.36,NUTTP,GBOTP
258.36,NUWTP,GBOTP
568.34,NUTTP,GHATP
568.34,NUWTP,GHATP
224.74,NUTTP,GKMTP
224.74,NUWTP,GKMTP
395,NUTTP,GMZTP
395,NUWTP,GMZTP
519.79,NUTTP,GWZTP
519.79,NUWTP,GWZTP
188.04,NUTTP,NGRTP
188.04,NUWTP,NGRTP
1112.85,NUTTP,AWGTP
1112.85,NUWTP,AWGTP
1307.26,NUTTP,CRITP
1307.26,NUWTP,CRITP
581.18,NUTTP,GBWOR
581.18,NUWTP,GBWOR
469.57,NUTTP,GHBTP
469.57,NUWTP,GHBTP
457.78,NUTTP,GKSTP
457.78,NUWTP,GKSTP
602.17,NUTTP,GNBTP
602.17,NUWTP,GNBTP
1363.19,NUTTP,HBSTP
1363.19,NUWTP,HBSTP
64.64,NUTTP,NLBTP
64.64,NUWTP,NLBTP
133.17,NUTTP,BANTP
133.17,NUWTP,BANTP
1291.83,NUTTP,CZATP
1291.83,NUWTP,CZATP
795.58,NUTTP,GBYOR
795.58,NUWTP,GBYOR
439.81,NUTTP,GHGTP
439.81,NUWTP,GHGTP
608.22,NUTTP,GLPTP
608.22,NUWTP,GLPTP
351.83,NUTTP,GNDOR
351.83,NUWTP,GNDOR
1616.47,NUTTP,HDBTP
1616.47,NUWTP,HDBTP
180.28,NUTTP,NMSTP
180.28,NUWTP,NMSTP
1294.81,NUTTP,CZMTP
1294.81,NUWTP,CZMTP
716.37,NUTTP,GDRTP
716.37,NUWTP,GDRTP
392.94,NUTTP,GHMTP
392.94,NUWTP,GHMTP
497.49,NUTTP,GLUTP
497.49,NUWTP,GLUTP
627.14,NUTTP,GNOOR
627.14,NUWTP,GNOOR
1431.84,NUTTP,HPCTP
1431.84,NUWTP,HPCTP
87.89,NUTTP,NNYTP
87.89,NUWTP,NNYTP
185.09,NUTTP,BBRTP
185.09,NUWTP,BBRTP
196.1,NUTTP,GAKTP
196.1,NUWTP,GAKTP
204.97,NUTTP,GDUTP
204.97,NUWTP,GDUTP
362,NUTTP,GHOTP
362,NUWTP,GHOTP
462.08,NUTTP,GMATP
462.08,NUWTP,GMATP
169.42,NUTTP,GNWOR
169.42,NUWTP,GNWOR
1530.85,NUTTP,HSZTP
1530.85,NUWTP,HSZTP
65.22,NUTTP,NRDTP
65.22,NUWTP,NRDTP
143.49,AKTTP,AGATP
1149.8,AKTTP,BGETP
434.31,AKTTP,GAUTP
981.15,AKTTP,GESTP
761.52,AKTTP,GHSTP
347.39,AKTTP,GMHTP
782.91,AKTTP,GOSOR
468.84,AKTTP,HUNOR
1188.79,AKTTP,NRSTP
392.73,AKTTP,AIBTP
1125.63,AKTTP,BLATP
972.3,AKTTP,GBBTP
725.88,AKTTP,GFDTP
722.73,AKTTP,GJETP
778.03,AKTTP,GMIOR
884.12,AKTTP,LLXTP
1138.61,AKTTP,NUTTP
1138.61,AKTTP,NUWTP
0,AKTTP,AKTTP
1106.93,AKTTP,BLETP
1106.93,AKTTP,BLMTP
932.06,AKTTP,GBCTP
742.3,AKTTP,GFMTP
1225.04,AKTTP,GKITP
355.77,AKTTP,GMLTP
1125.49,AKTTP,GROTP
1166.94,AKTTP,NAETP
93.4,AKTTP,SLOTP
249.9,AKTTP,AOETP
1041.66,AKTTP,BLGTP
923.51,AKTTP,GBETP
771.21,AKTTP,GFRTP
926.48,AKTTP,GKKTP
1025.15,AKTTP,GMNTP
581.29,AKTTP,GSTTP
1175.41,AKTTP,NAVTP
251.06,AKTTP,AOLTP
228.35,AKTTP,CHROR
1097.06,AKTTP,GBMTP
798.34,AKTTP,GGITP
926.48,AKTTP,GKLTP
833.58,AKTTP,GMRTP
608.75,AKTTP,GTUTP
1173.95,AKTTP,NAMTP
1173.95,AKTTP,NAWTP
321.31,AKTTP,AWDTP
509.35,AKTTP,COSTP
914.54,AKTTP,GBOTP
788.91,AKTTP,GHATP
921.22,AKTTP,GKMTP
776.99,AKTTP,GMZTP
627.09,AKTTP,GWZTP
1179.95,AKTTP,NGRTP
301.26,AKTTP,AWGTP
193.77,AKTTP,CRITP
582.81,AKTTP,GBWOR
697.76,AKTTP,GHBTP
737.04,AKTTP,GKSTP
541.61,AKTTP,GNBTP
472.4,AKTTP,HBSTP
1190.08,AKTTP,NLBTP
1132.44,AKTTP,BANTP
225.31,AKTTP,CZATP
355.77,AKTTP,GBYOR
1139.9,AKTTP,GHGTP
780,AKTTP,GLPTP
983.12,AKTTP,GNDOR
725.68,AKTTP,HDBTP
1026.81,AKTTP,NMSTP
228.29,AKTTP,CZMTP
641.4,AKTTP,GDRTP
844.29,AKTTP,GHMTP
1177.22,AKTTP,GLUTP
931.27,AKTTP,GNOOR
440.77,AKTTP,HPCTP
1076.23,AKTTP,NNYTP
1117.63,AKTTP,BBRTP
997.04,AKTTP,GAKTP
959.32,AKTTP,GDUTP
983.44,AKTTP,GHOTP
708.57,AKTTP,GMATP
982.64,AKTTP,GNWOR
640.07,AKTTP,HSZTP
1190.66,AKTTP,NRDTP
1079.81,BLETP,AGATP
1079.81,BLMTP,AGATP
79.44,BLETP,BGETP
79.44,BLMTP,BGETP
679.47,BLETP,GAUTP
679.47,BLMTP,GAUTP
207.98,BLETP,GESTP
207.98,BLMTP,GESTP
349.94,BLETP,GHSTP
349.94,BLMTP,GHSTP
759.56,BLETP,GMHTP
759.56,BLMTP,GMHTP
661.29,BLETP,GOSOR
661.29,BLMTP,GOSOR
1327.17,BLETP,HUNOR
1327.17,BLMTP,HUNOR
156.65,BLETP,NRSTP
156.65,BLMTP,NRSTP
840.53,BLETP,AIBTP
840.53,BLMTP,AIBTP
20.42,BLETP,BLATP
20.42,BLMTP,BLATP
225.75,BLETP,GBBTP
225.75,BLMTP,GBBTP
458.48,BLETP,GFDTP
458.48,BLMTP,GFDTP
592.94,BLETP,GJETP
592.94,BLMTP,GJETP
355.61,BLETP,GMIOR
355.61,BLMTP,GMIOR
223.05,BLETP,LLXTP
223.05,BLMTP,LLXTP
182.45,BLETP,NUTTP
182.45,BLETP,NUWTP
182.45,BLMTP,NUTTP
182.45,BLMTP,NUWTP
1108.49,BLETP,AKTTP
1108.49,BLMTP,AKTTP
0,BLETP,BLETP
0,BLETP,BLMTP
0,BLMTP,BLETP
0,BLMTP,BLMTP
730.58,BLETP,GBCTP
730.58,BLMTP,GBCTP
373.87,BLETP,GFMTP
373.87,BLMTP,GFMTP
662.46,BLETP,GKITP
662.46,BLMTP,GKITP
743.21,BLETP,GMLTP
743.21,BLMTP,GMLTP
750.13,BLETP,GROTP
750.13,BLMTP,GROTP
207.07,BLETP,NAETP
207.07,BLMTP,NAETP
1174.43,BLETP,SLOTP
1174.43,BLMTP,SLOTP
917.18,BLETP,AOETP
917.18,BLMTP,AOETP
87.85,BLETP,BLGTP
87.85,BLMTP,BLGTP
722.61,BLETP,GBETP
722.61,BLMTP,GBETP
530.44,BLETP,GFRTP
530.44,BLMTP,GFRTP
182.27,BLETP,GKKTP
182.27,BLMTP,GKKTP
306.81,BLETP,GMNTP
306.81,BLMTP,GMNTP
531.36,BLETP,GSTTP
531.36,BLMTP,GSTTP
215.54,BLETP,NAVTP
215.54,BLMTP,NAVTP
918.34,BLETP,AOLTP
918.34,BLMTP,AOLTP
1261.26,BLETP,CHROR
1261.26,BLMTP,CHROR
468.48,BLETP,GBMTP
468.48,BLMTP,GBMTP
347.2,BLETP,GGITP
347.2,BLMTP,GGITP
182.27,BLETP,GKLTP
182.27,BLMTP,GKLTP
383.63,BLETP,GMRTP
383.63,BLMTP,GMRTP
568.04,BLETP,GTUTP
568.04,BLMTP,GTUTP
215.51,BLETP,NAMTP
215.51,BLETP,NAWTP
215.51,BLMTP,NAMTP
215.51,BLMTP,NAWTP
1078.64,BLETP,AWDTP
1078.64,BLMTP,AWDTP
1543.12,BLETP,COSTP
1543.12,BLMTP,COSTP
211.06,BLETP,GBOTP
211.06,BLMTP,GBOTP
616.71,BLETP,GHATP
616.71,BLMTP,GHATP
196.1,BLETP,GKMTP
196.1,BLMTP,GKMTP
353.48,BLETP,GMZTP
353.48,BLMTP,GMZTP
487.34,BLETP,GWZTP
487.34,BLMTP,GWZTP
366.07,BLETP,NGRTP
366.07,BLMTP,NGRTP
1080.97,BLETP,AWGTP
1080.97,BLMTP,AWGTP
1274.81,BLETP,CRITP
1274.81,BLMTP,CRITP
528.81,BLETP,GBWOR
528.81,BLMTP,GBWOR
423.31,BLETP,GHBTP
423.31,BLMTP,GHBTP
346.85,BLETP,GKSTP
346.85,BLMTP,GKSTP
569.71,BLETP,GNBTP
569.71,BLMTP,GNBTP
1330.73,BLETP,HBSTP
1330.73,BLMTP,HBSTP
197.93,BLETP,NLBTP
197.93,BLMTP,NLBTP
52.96,BLETP,BANTP
52.96,BLMTP,BANTP
1259.37,BLETP,CZATP
1259.37,BLMTP,CZATP
743.21,BLETP,GBYOR
743.21,BLMTP,GBYOR
577.32,BLETP,GHGTP
577.32,BLMTP,GHGTP
657.94,BLETP,GLPTP
657.94,BLMTP,GLPTP
454.48,BLETP,GNDOR
454.48,BLMTP,GNDOR
1584.02,BLETP,HDBTP
1584.02,BLMTP,HDBTP
104.97,BLETP,NMSTP
104.97,BLMTP,NMSTP
1262.35,BLETP,CZMTP
1262.35,BLMTP,CZMTP
766.07,BLETP,GDRTP
766.07,BLMTP,GDRTP
430.51,BLETP,GHMTP
430.51,BLMTP,GHMTP
634.99,BLETP,GLUTP
634.99,BLMTP,GLUTP
729.79,BLETP,GNOOR
729.79,BLMTP,GNOOR
1399.38,BLETP,HPCTP
1399.38,BLMTP,HPCTP
181.28,BLETP,NNYTP
181.28,BLMTP,NNYTP
42.78,BLETP,BBRTP
42.78,BLMTP,BBRTP
120.98,BLETP,GAKTP
120.98,BLMTP,GAKTP
177.23,BLETP,GDUTP
177.23,BLMTP,GDUTP
464.64,BLETP,GHOTP
464.64,BLMTP,GHOTP
404.76,BLETP,GMATP
404.76,BLMTP,GMATP
209.94,BLETP,GNWOR
209.94,BLMTP,GNWOR
1498.4,BLETP,HSZTP
1498.4,BLMTP,HSZTP
157.64,BLETP,NRDTP
157.64,BLMTP,NRDTP
874.57,GBCTP,AGATP
775.1,GBCTP,BGETP
565.75,GBCTP,GAUTP
530.67,GBCTP,GESTP
694.15,GBCTP,GHSTP
583.8,GBCTP,GMHTP
180.12,GBCTP,GOSOR
879.78,GBCTP,HUNOR
689.32,GBCTP,NRSTP
750.71,GBCTP,AIBTP
747.27,GBCTP,BLATP
514.35,GBCTP,GBBTP
445.18,GBCTP,GFDTP
257.67,GBCTP,GJETP
580.67,GBCTP,GMIOR
762.11,GBCTP,LLXTP
628.28,GBCTP,NUTTP
628.28,GBCTP,NUWTP
932.74,GBCTP,AKTTP
728.57,GBCTP,BLETP
728.57,GBCTP,BLMTP
0,GBCTP,GBCTP
546.52,GBCTP,GFMTP
347.04,GBCTP,GKITP
597.76,GBCTP,GMLTP
221.56,GBCTP,GROTP
