driving_distance,from_center,to_center
729.84,GAUTP,NUWTP
434.2,GAUTP,AKTTP
662.22,GAUTP,BLETP
662.22,GAUTP,BLMTP
565.66,GAUTP,GBCTP
352.39,GAUTP,GFMTP
835.7,GAUTP,GKITP
72.12,GAUTP,GMLTP
759.09,GAUTP,GROTP
758.17,GAUTP,NAETP
500.14,GAUTP,SLOTP
310.41,GAUTP,AOETP
588.13,GAUTP,BLGTP
556.72,GAUTP,GBETP
346.23,GAUTP,GFRTP
517.72,GAUTP,GKKTP
635.81,GAUTP,GMNTP
156.31,GAUTP,GSTTP
766.64,GAUTP,NAVTP
311.57,GAUTP,AOLTP
635.09,GAUTP,CHROR
707.72,GAUTP,GBMTP
409.88,GAUTP,GGITP
517.72,GAUTP,GKLTP
445.12,GAUTP,GMRTP
183.77,GAUTP,GTUTP
765.18,GAUTP,NAMTP
765.18,GAUTP,NAWTP
471.87,GAUTP,AWDTP
916.09,GAUTP,COSTP
496,GAUTP,GBOTP
422.51,GAUTP,GHATP
512.45,GAUTP,GKMTP
355.88,GAUTP,GMZTP
239.17,GAUTP,GWZTP
814.72,GAUTP,NGRTP
473.62,GAUTP,AWGTP
600.51,GAUTP,CRITP
157.83,GAUTP,GBWOR
272.78,GAUTP,GHBTP
312.06,GAUTP,GKSTP
166.06,GAUTP,GNBTP
723.96,GAUTP,HBSTP
781.31,GAUTP,NLBTP
698.34,GAUTP,BANTP
632.05,GAUTP,CZATP
72.12,GAUTP,GBYOR
750.56,GAUTP,GHGTP
413.6,GAUTP,GLPTP
593.92,GAUTP,GNDOR
977.24,GAUTP,HDBTP
599.24,GAUTP,NMSTP
635.03,GAUTP,CZMTP
449.96,GAUTP,GDRTP
454.95,GAUTP,GHMTP
797.28,GAUTP,GLUTP
564.87,GAUTP,GNOOR
792.61,GAUTP,HPCTP
652.22,GAUTP,NNYTP
692.66,GAUTP,BBRTP
569.48,GAUTP,GAKTP
550.55,GAUTP,GDUTP
594.1,GAUTP,GHOTP
283.59,GAUTP,GMATP
573.87,GAUTP,GNWOR
891.62,GAUTP,HSZTP
758.65,GAUTP,NRDTP
953.57,GESTP,AGATP
250.83,GESTP,BGETP
573.14,GESTP,GAUTP
0,GESTP,GESTP
319.04,GESTP,GHSTP
633.31,GESTP,GMHTP
456.83,GESTP,GOSOR
1200.92,GESTP,HUNOR
217.88,GESTP,NRSTP
734.2,GESTP,AIBTP
224.8,GESTP,BLATP
20,GESTP,GBBTP
294.95,GESTP,GFDTP
385.29,GESTP,GJETP
248.19,GESTP,GMIOR
257.74,GESTP,LLXTP
167.71,GESTP,NUTTP
167.71,GESTP,NUWTP
982.24,GESTP,AKTTP
206.1,GESTP,BLETP
206.1,GESTP,BLMTP
531.06,GESTP,GBCTP
247.62,GESTP,GFMTP
462.37,GESTP,GKITP
636.88,GESTP,GMLTP
550.04,GESTP,GROTP
196.04,GESTP,NAETP
1048.18,GESTP,SLOTP
790.93,GESTP,AOETP
174.18,GESTP,BLGTP
522.11,GESTP,GBETP
487.71,GESTP,GFRTP
72.44,GESTP,GKKTP
106.72,GESTP,GMNTP
425.03,GESTP,GSTTP
204.51,GESTP,NAVTP
792.1,GESTP,AOLTP
1135.02,GESTP,CHROR
268.39,GESTP,GBMTP
213.76,GESTP,GGITP
72.44,GESTP,GKLTP
250.18,GESTP,GMRTP
461.71,GESTP,GTUTP
203.05,GESTP,NAMTP
203.05,GESTP,NAWTP
952.39,GESTP,AWDTP
1416.87,GESTP,COSTP
99.66,GESTP,GBOTP
412.25,GESTP,GHATP
66.04,GESTP,GKMTP
236.3,GESTP,GMZTP
361.09,GESTP,GWZTP
245.29,GESTP,NGRTP
954.14,GESTP,AWGTP
1148.56,GESTP,CRITP
422.48,GESTP,GBWOR
310.87,GESTP,GHBTP
305.1,GESTP,GKSTP
443.47,GESTP,GNBTP
1204.48,GESTP,HBSTP
219.18,GESTP,NLBTP
200.18,GESTP,BANTP
1133.13,GESTP,CZATP
636.88,GESTP,GBYOR
377.22,GESTP,GHGTP
453.48,GESTP,GLPTP
254.96,GESTP,GNDOR
1457.77,GESTP,HDBTP
137.08,GESTP,NMSTP
1136.11,GESTP,CZMTP
556.9,GESTP,GDRTP
226.04,GESTP,GHMTP
434.9,GESTP,GLUTP
530.27,GESTP,GNOOR
1273.13,GESTP,HPCTP
113.66,GESTP,NNYTP
247.15,GESTP,BBRTP
121.77,GESTP,GAKTP
46.27,GESTP,GDUTP
265.12,GESTP,GHOTP
303.38,GESTP,GMATP
3.49,GESTP,GNWOR
1372.15,GESTP,HSZTP
220.09,GESTP,NRDTP
820.36,GHSTP,AGATP
395.62,GHSTP,BGETP
336.36,GHSTP,GAUTP
318.25,GHSTP,GESTP
0,GHSTP,GHSTP
413.01,GHSTP,GMHTP
545.86,GHSTP,GOSOR
1067.72,GHSTP,HUNOR
472.83,GHSTP,NRSTP
497.42,GHSTP,AIBTP
332.44,GHSTP,BLATP
332.44,GHSTP,GBBTP
258.18,GHSTP,GFDTP
444.76,GHSTP,GJETP
117.96,GHSTP,GMIOR
129.95,GHSTP,LLXTP
451.91,GHSTP,NUTTP
451.91,GHSTP,NUWTP
762.18,GHSTP,AKTTP
338.48,GHSTP,BLETP
338.48,GHSTP,BLMTP
695.01,GHSTP,GBCTP
157.12,GHSTP,GFMTP
741.08,GHSTP,GKITP
400.1,GHSTP,GMLTP
817.81,GHSTP,GROTP
476.34,GHSTP,NAETP
828.12,GHSTP,SLOTP
657.73,GHSTP,AOETP
287.49,GHSTP,BLGTP
686.46,GHSTP,GBETP
199.42,GHSTP,GFRTP
251.8,GHSTP,GKKTP
404.49,GHSTP,GMNTP
190.19,GHSTP,GSTTP
484.81,GHSTP,NAVTP
658.9,GHSTP,AOLTP
963.07,GHSTP,CHROR
566.16,GHSTP,GBMTP
215.12,GHSTP,GGITP
251.8,GHSTP,GKLTP
250.35,GHSTP,GMRTP
224.93,GHSTP,GTUTP
484.77,GHSTP,NAMTP
484.77,GHSTP,NAWTP
819.19,GHSTP,AWDTP
1244.07,GHSTP,COSTP
244.1,GHSTP,GBOTP
530.94,GHSTP,GHATP
256.75,GHSTP,GKMTP
120.64,GHSTP,GMZTP
