driving_time,from_center,to_center
6.19,BLATP,GHGTP
7.06,BLATP,GLPTP
4.93,BLATP,GNDOR
14.82,BLATP,HDBTP
1.21,BLATP,NMSTP
12.56,BLATP,CZMTP
7.71,BLATP,GDRTP
4.84,BLATP,GHMTP
6.62,BLATP,GLUTP
7.48,BLATP,GNOOR
14.23,BLATP,HPCTP
2.05,BLATP,NNYTP
0.39,BLATP,BBRTP
1.38,BLATP,GAKTP
2.07,BLATP,GDUTP
5.03,BLATP,GHOTP
4.56,BLATP,GMATP
2.39,BLATP,GNWOR
14.15,BLATP,HSZTP
1.56,BLATP,NRDTP
9.97,GBBTP,AGATP
2.84,GBBTP,BGETP
5.92,GBBTP,GAUTP
0.34,GBBTP,GESTP
3.75,GBBTP,GHSTP
6.74,GBBTP,GMHTP
4.72,GBBTP,GOSOR
11.64,GBBTP,HUNOR
2.56,GBBTP,NRSTP
7.73,GBBTP,AIBTP
2.5,GBBTP,BLATP
0,GBBTP,GBBTP
3.17,GBBTP,GFDTP
4.36,GBBTP,GJETP
2.77,GBBTP,GMIOR
3.19,GBBTP,LLXTP
2.03,GBBTP,NUTTP
2.03,GBBTP,NUWTP
10.06,GBBTP,AKTTP
2.31,GBBTP,BLETP
2.31,GBBTP,BLMTP
5.26,GBBTP,GBCTP
2.79,GBBTP,GFMTP
4.78,GBBTP,GKITP
6.56,GBBTP,GMLTP
5.52,GBBTP,GROTP
2.31,GBBTP,NAETP
10.69,GBBTP,SLOTP
8.3,GBBTP,AOETP
2.2,GBBTP,BLGTP
5.3,GBBTP,GBETP
5.2,GBBTP,GFRTP
1.06,GBBTP,GKKTP
1.02,GBBTP,GMNTP
4.58,GBBTP,GSTTP
2.39,GBBTP,NAVTP
8.29,GBBTP,AOLTP
11.75,GBBTP,CHROR
2.76,GBBTP,GBMTP
2.27,GBBTP,GGITP
1.05,GBBTP,GKLTP
2.66,GBBTP,GMRTP
4.94,GBBTP,GTUTP
2.4,GBBTP,NAMTP
2.4,GBBTP,NAWTP
9.73,GBBTP,AWDTP
14.48,GBBTP,COSTP
1.34,GBBTP,GBOTP
4.34,GBBTP,GHATP
0.94,GBBTP,GKMTP
2.71,GBBTP,GMZTP
3.97,GBBTP,GWZTP
2.89,GBBTP,NGRTP
9.81,GBBTP,AWGTP
11.98,GBBTP,CRITP
4.54,GBBTP,GBWOR
3.37,GBBTP,GHBTP
3.56,GBBTP,GKSTP
4.91,GBBTP,GNBTP
11.77,GBBTP,HBSTP
2.67,GBBTP,NLBTP
2.39,GBBTP,BANTP
11.62,GBBTP,CZATP
6.56,GBBTP,GBYOR
3.92,GBBTP,GHGTP
4.74,GBBTP,GLPTP
2.55,GBBTP,GNDOR
13.77,GBBTP,HDBTP
1.69,GBBTP,NMSTP
11.7,GBBTP,CZMTP
5.75,GBBTP,GDRTP
2.45,GBBTP,GHMTP
4.49,GBBTP,GLUTP
5.21,GBBTP,GNOOR
13.38,GBBTP,HPCTP
1.51,GBBTP,NNYTP
2.73,GBBTP,BBRTP
1.59,GBBTP,GAKTP
0.79,GBBTP,GDUTP
2.64,GBBTP,GHOTP
3.28,GBBTP,GMATP
0.28,GBBTP,GNWOR
13.11,GBBTP,HSZTP
2.63,GBBTP,NRDTP
7.36,GFDTP,AGATP
5.46,GFDTP,BGETP
3.6,GFDTP,GAUTP
3.22,GFDTP,GESTP
2.8,GFDTP,GHSTP
3.94,GFDTP,GMHTP
3.32,GFDTP,GOSOR
9.19,GFDTP,HUNOR
5.24,GFDTP,NRSTP
5.46,GFDTP,AIBTP
4.91,GFDTP,BLATP
3.08,GFDTP,GBBTP
0,GFDTP,GFDTP
2.33,GFDTP,GJETP
1.59,GFDTP,GMIOR
3.8,GFDTP,LLXTP
4.74,GFDTP,NUTTP
4.74,GFDTP,NUWTP
7.46,GFDTP,AKTTP
4.7,GFDTP,BLETP
4.7,GFDTP,BLMTP
4.77,GFDTP,GBCTP
1.25,GFDTP,GFMTP
5.32,GFDTP,GKITP
4.1,GFDTP,GMLTP
5.97,GFDTP,GROTP
5.02,GFDTP,NAETP
8.09,GFDTP,SLOTP
5.7,GFDTP,AOETP
4.47,GFDTP,BLGTP
4.8,GFDTP,GBETP
3.92,GFDTP,GFRTP
3.05,GFDTP,GKKTP
3.34,GFDTP,GMNTP
2.89,GFDTP,GSTTP
5.07,GFDTP,NAVTP
5.69,GFDTP,AOLTP
9.16,GFDTP,CHROR
4.08,GFDTP,GBMTP
1.33,GFDTP,GGITP
3.05,GFDTP,GKLTP
1.35,GFDTP,GMRTP
3.38,GFDTP,GTUTP
5.08,GFDTP,NAMTP
5.08,GFDTP,NAWTP
7.15,GFDTP,AWDTP
11.17,GFDTP,COSTP
3.11,GFDTP,GBOTP
3.18,GFDTP,GHATP
2.85,GFDTP,GKMTP
1.59,GFDTP,GMZTP
1.23,GFDTP,GWZTP
4.91,GFDTP,NGRTP
7.2,GFDTP,AWGTP
9.37,GFDTP,CRITP
2.86,GFDTP,GBWOR
2.06,GFDTP,GHBTP
2.4,GFDTP,GKSTP
2.02,GFDTP,GNBTP
9.35,GFDTP,HBSTP
5.34,GFDTP,NLBTP
5.06,GFDTP,BANTP
9.04,GFDTP,CZATP
4.08,GFDTP,GBYOR
4.52,GFDTP,GHGTP
3.31,GFDTP,GLPTP
2.87,GFDTP,GNDOR
11.36,GFDTP,HDBTP
4.05,GFDTP,NMSTP
9.07,GFDTP,CZMTP
3.97,GFDTP,GDRTP
1.48,GFDTP,GHMTP
4.97,GFDTP,GLUTP
4.75,GFDTP,GNOOR
10.83,GFDTP,HPCTP
4.34,GFDTP,NNYTP
5.15,GFDTP,BBRTP
3.73,GFDTP,GAKTP
3.31,GFDTP,GDUTP
2.92,GFDTP,GHOTP
1.96,GFDTP,GMATP
3.2,GFDTP,GNWOR
10.69,GFDTP,HSZTP
5.3,GFDTP,NRDTP
7.29,GJETP,AGATP
6.98,GJETP,BGETP
3.88,GJETP,GAUTP
4.4,GJETP,GESTP
4.69,GJETP,GHSTP
3.9,GJETP,GMHTP
1.23,GJETP,GOSOR
8.11,GJETP,HUNOR
6.49,GJETP,NRSTP
5.69,GJETP,AIBTP
6.28,GJETP,BLATP
4.24,GJETP,GBBTP
2.18,GJETP,GFDTP
0,GJETP,GJETP
3.46,GJETP,GMIOR
5.51,GJETP,LLXTP
5.94,GJETP,NUTTP
5.94,GJETP,NUWTP
7.43,GJETP,AKTTP
6.11,GJETP,BLETP
6.11,GJETP,BLMTP
2.62,GJETP,GBCTP
3.16,GJETP,GFMTP
5.71,GJETP,GKITP
4.06,GJETP,GMLTP
4.65,GJETP,GROTP
6.23,GJETP,NAETP
8.07,GJETP,SLOTP
5.62,GJETP,AOETP
5.76,GJETP,BLGTP
2.69,GJETP,GBETP
5.75,GJETP,GFRTP
4.41,GJETP,GKKTP
4.48,GJETP,GMNTP
4.25,GJETP,GSTTP
6.32,GJETP,NAVTP
5.61,GJETP,AOLTP
9.09,GJETP,CHROR
4.5,GJETP,GBMTP
2.71,GJETP,GGITP
4.42,GJETP,GKLTP
2.76,GJETP,GMRTP
4.72,GJETP,GTUTP
6.35,GJETP,NAMTP
6.35,GJETP,NAWTP
6.51,GJETP,AWDTP
10.36,GJETP,COSTP
4.4,GJETP,GBOTP
1.35,GJETP,GHATP
4.24,GJETP,GKMTP
3.44,GJETP,GMZTP
2.61,GJETP,GWZTP
6.08,GJETP,NGRTP
6.58,GJETP,AWGTP
9.34,GJETP,CRITP
4.22,GJETP,GBWOR
3.91,GJETP,GHBTP
4.29,GJETP,GKSTP
2.49,GJETP,GNBTP
8.27,GJETP,HBSTP
6.58,GJETP,NLBTP
6.53,GJETP,BANTP
8.94,GJETP,CZATP
4.06,GJETP,GBYOR
4.93,GJETP,GHGTP
1.25,GJETP,GLPTP
3.3,GJETP,GNDOR
10.19,GJETP,HDBTP
5.33,GJETP,NMSTP
9,GJETP,CZMTP
1.87,GJETP,GDRTP
2.37,GJETP,GHMTP
5.18,GJETP,GLUTP
2.61,GJETP,GNOOR
9.77,GJETP,HPCTP
5.49,GJETP,NNYTP
6.61,GJETP,BBRTP
5.06,GJETP,GAKTP
4.66,GJETP,GDUTP
3.32,GJETP,GHOTP
3.82,GJETP,GMATP
4.35,GJETP,GNWOR
9.54,GJETP,HSZTP
6.58,GJETP,NRDTP
7.87,GMIOR,AGATP
4.45,GMIOR,BGETP
3.72,GMIOR,GAUTP
2.63,GMIOR,GESTP
1.35,GMIOR,GHSTP
4.51,GMIOR,GMHTP
4.47,GMIOR,GOSOR
9.72,GMIOR,HUNOR
4.63,GMIOR,NRSTP
5.57,GMIOR,AIBTP
3.87,GMIOR,BLATP
2.76,GMIOR,GBBTP
1.62,GMIOR,GFDTP
3.5,GMIOR,GJETP
0,GMIOR,GMIOR
2.38,GMIOR,LLXTP
4.11,GMIOR,NUTTP
4.11,GMIOR,NUWTP
7.97,GMIOR,AKTTP
3.67,GMIOR,BLETP
3.67,GMIOR,BLMTP
5.84,GMIOR,GBCTP
0.58,GMIOR,GFMTP
6.59,GMIOR,GKITP
4.34,GMIOR,GMLTP
7.18,GMIOR,GROTP
4.33,GMIOR,NAETP
8.61,GMIOR,SLOTP
6.25,GMIOR,AOETP
3.24,GMIOR,BLGTP
5.86,GMIOR,GBETP
2.8,GMIOR,GFRTP
2.08,GMIOR,GKKTP
3.52,GMIOR,GMNTP
2.27,GMIOR,GSTTP
4.42,GMIOR,NAVTP
6.23,GMIOR,AOLTP
9.69,GMIOR,CHROR
5.21,GMIOR,GBMTP
1.09,GMIOR,GGITP
2.09,GMIOR,GKLTP
1.47,GMIOR,GMRTP
2.63,GMIOR,GTUTP
4.43,GMIOR,NAMTP
4.43,GMIOR,NAWTP
7.66,GMIOR,AWDTP
11.66,GMIOR,COSTP
1.96,GMIOR,GBOTP
4.34,GMIOR,GHATP
1.96,GMIOR,GKMTP
0.13,GMIOR,GMZTP
1.72,GMIOR,GWZTP
5.04,GMIOR,NGRTP
7.74,GMIOR,AWGTP
9.9,GMIOR,CRITP
2.24,GMIOR,GBWOR
1.05,GMIOR,GHBTP
0.9,GMIOR,GKSTP
2.62,GMIOR,GNBTP
9.86,GMIOR,HBSTP
4.67,GMIOR,NLBTP
4.02,GMIOR,BANTP
9.56,GMIOR,CZATP
4.34,GMIOR,GBYOR
5.82,GMIOR,GHGTP
4.51,GMIOR,GLPTP
4.12,GMIOR,GNDOR
11.87,GMIOR,HDBTP
2.96,GMIOR,NMSTP
9.6,GMIOR,CZMTP
5.14,GMIOR,GDRTP
2.66,GMIOR,GHMTP
6.18,GMIOR,GLUTP
5.81,GMIOR,GNOOR
11.32,GMIOR,HPCTP
3.57,GMIOR,NNYTP
4.09,GMIOR,BBRTP
2.67,GMIOR,GAKTP
2.37,GMIOR,GDUTP
4.16,GMIOR,GHOTP
0.96,GMIOR,GMATP
2.63,GMIOR,GNWOR
11.2,GMIOR,HSZTP
4.58,GMIOR,NRDTP
9.75,LLXTP,AGATP
2.77,LLXTP,BGETP
4.89,LLXTP,GAUTP
3.24,LLXTP,GESTP
1.49,LLXTP,GHSTP
5.62,LLXTP,GMHTP
6.6,LLXTP,GOSOR
11.55,LLXTP,HUNOR
3.55,LLXTP,NRSTP
6.71,LLXTP,AIBTP
2.14,LLXTP,BLATP
3.38,LLXTP,GBBTP
3.9,LLXTP,GFDTP
5.72,LLXTP,GJETP
2.46,LLXTP,GMIOR
0,LLXTP,LLXTP
3.81,LLXTP,NUTTP
3.81,LLXTP,NUWTP
8.99,LLXTP,AKTTP
2.31,LLXTP,BLETP
2.31,LLXTP,BLMTP
7.94,LLXTP,GBCTP
2.89,LLXTP,GFMTP
7.68,LLXTP,GKITP
5.49,LLXTP,GMLTP
8.24,LLXTP,GROTP
4.08,LLXTP,NAETP
9.64,LLXTP,SLOTP
8.08,LLXTP,AOETP
1.72,LLXTP,BLGTP
7.94,LLXTP,GBETP
3.43,LLXTP,GFRTP
2.52,LLXTP,GKKTP
4.13,LLXTP,GMNTP
3.54,LLXTP,GSTTP
4.08,LLXTP,NAVTP
8.08,LLXTP,AOLTP
10.93,LLXTP,CHROR
5.86,LLXTP,GBMTP
3.09,LLXTP,GGITP
2.54,LLXTP,GKLTP
3.5,LLXTP,GMRTP
3.85,LLXTP,GTUTP
4.13,LLXTP,NAMTP
4.13,LLXTP,NAWTP
9.52,LLXTP,AWDTP
12.98,LLXTP,COSTP
2.57,LLXTP,GBOTP
6.43,LLXTP,GHATP
2.58,LLXTP,GKMTP
2.45,LLXTP,GMZTP
4.09,LLXTP,GWZTP
5.28,LLXTP,NGRTP
9.59,LLXTP,AWGTP
10.95,LLXTP,CRITP
3.56,LLXTP,GBWOR
2.67,LLXTP,GHBTP
1.8,LLXTP,GKSTP
5.02,LLXTP,GNBTP
11.67,LLXTP,HBSTP
3.97,LLXTP,NLBTP
2.53,LLXTP,BANTP
10.84,LLXTP,CZATP
5.48,LLXTP,GBYOR
6.94,LLXTP,GHGTP
6.66,LLXTP,GLPTP
5.42,LLXTP,GNDOR
13.68,LLXTP,HDBTP
2.13,LLXTP,NMSTP
10.92,LLXTP,CZMTP
7.21,LLXTP,GDRTP
4.95,LLXTP,GHMTP
7.28,LLXTP,GLUTP
7.89,LLXTP,GNOOR
13.15,LLXTP,HPCTP
3.46,LLXTP,NNYTP
2.41,LLXTP,BBRTP
2.36,LLXTP,GAKTP
2.85,LLXTP,GDUTP
5.51,LLXTP,GHOTP
2.51,LLXTP,GMATP
3.22,LLXTP,GNWOR
13.02,LLXTP,HSZTP
3.56,LLXTP,NRDTP
10.98,NUTTP,AGATP
10.98,NUWTP,AGATP
1.87,NUTTP,BGETP
1.87,NUWTP,BGETP
7.02,NUTTP,GAUTP
7.02,NUWTP,GAUTP
1.8,NUTTP,GESTP
1.8,NUWTP,GESTP
4.84,NUTTP,GHSTP
4.84,NUWTP,GHSTP
7.83,NUTTP,GMHTP
7.83,NUWTP,GMHTP
6.05,NUTTP,GOSOR
6.05,NUWTP,GOSOR
12.81,NUTTP,HUNOR
12.81,NUWTP,HUNOR
0.68,NUTTP,NRSTP
0.68,NUWTP,NRSTP
8.85,NUTTP,AIBTP
8.85,NUWTP,AIBTP
1.72,NUTTP,BLATP
1.72,NUWTP,BLATP
1.96,NUTTP,GBBTP
1.96,NUWTP,GBBTP
4.99,NUTTP,GFDTP
4.99,NUWTP,GFDTP
6.03,NUTTP,GJETP
6.03,NUWTP,GJETP
4.02,NUTTP,GMIOR
4.02,NUWTP,GMIOR
3.88,NUTTP,LLXTP
3.88,NUWTP,LLXTP
0,NUTTP,NUTTP
0,NUTTP,NUWTP
0,NUWTP,NUTTP
0,NUWTP,NUWTP
11.12,NUTTP,AKTTP
11.12,NUWTP,AKTTP
1.88,NUTTP,BLETP
1.88,NUTTP,BLMTP
1.88,NUWTP,BLETP
1.88,NUWTP,BLMTP
6.4,NUTTP,GBCTP
6.4,NUWTP,GBCTP
4.03,NUTTP,GFMTP
4.03,NUWTP,GFMTP
5.5,NUTTP,GKITP
5.5,NUWTP,GKITP
7.63,NUTTP,GMLTP
7.63,NUWTP,GMLTP
6.22,NUTTP,GROTP
6.22,NUWTP,GROTP
0.47,NUTTP,NAETP
0.47,NUWTP,NAETP
11.75,NUTTP,SLOTP
11.75,NUWTP,SLOTP
9.31,NUTTP,AOETP
9.31,NUWTP,AOETP
2.35,NUTTP,BLGTP
2.35,NUWTP,BLGTP
6.4,NUTTP,GBETP
6.4,NUWTP,GBETP
6.36,NUTTP,GFRTP
6.36,NUWTP,GFRTP
2.32,NUTTP,GKKTP
2.32,NUWTP,GKKTP
2.12,NUTTP,GMNTP
2.12,NUWTP,GMNTP
5.82,NUTTP,GSTTP
5.82,NUWTP,GSTTP
0.55,NUTTP,NAVTP
0.55,NUWTP,NAVTP
9.3,NUTTP,AOLTP
9.3,NUWTP,AOLTP
12.74,NUTTP,CHROR
12.74,NUWTP,CHROR
3.57,NUTTP,GBMTP
3.57,NUWTP,GBMTP
3.82,NUTTP,GGITP
3.82,NUWTP,GGITP
2.32,NUTTP,GKLTP
2.32,NUWTP,GKLTP
4.22,NUTTP,GMRTP
4.22,NUWTP,GMRTP
6.12,NUTTP,GTUTP
6.12,NUWTP,GTUTP
0.58,NUTTP,NAMTP
0.58,NUTTP,NAWTP
0.58,NUWTP,NAMTP
0.58,NUWTP,NAWTP
10.75,NUTTP,AWDTP
10.75,NUWTP,AWDTP
14.71,NUTTP,COSTP
14.71,NUWTP,COSTP
2.62,NUTTP,GBOTP
2.62,NUWTP,GBOTP
5.91,NUTTP,GHATP
5.91,NUWTP,GHATP
2.22,NUTTP,GKMTP
2.22,NUWTP,GKMTP
3.97,NUTTP,GMZTP
3.97,NUWTP,GMZTP
5.14,NUTTP,GWZTP
5.14,NUWTP,GWZTP
1.91,NUTTP,NGRTP
1.91,NUWTP,NGRTP
10.84,NUTTP,AWGTP
10.84,NUWTP,AWGTP
13.04,NUTTP,CRITP
13.04,NUWTP,CRITP
5.75,NUTTP,GBWOR
5.75,NUWTP,GBWOR
4.63,NUTTP,GHBTP
4.63,NUWTP,GHBTP
4.91,NUTTP,GKSTP
4.91,NUWTP,GKSTP
6.08,NUTTP,GNBTP
6.08,NUWTP,GNBTP
12.94,NUTTP,HBSTP
12.94,NUWTP,HBSTP
0.79,NUTTP,NLBTP
0.79,NUWTP,NLBTP
1.43,NUTTP,BANTP
1.43,NUWTP,BANTP
12.62,NUTTP,CZATP
12.62,NUWTP,CZATP
7.63,NUTTP,GBYOR
7.63,NUWTP,GBYOR
4.7,NUTTP,GHGTP
4.7,NUWTP,GHGTP
6.24,NUTTP,GLPTP
6.24,NUWTP,GLPTP
3.72,NUTTP,GNDOR
3.72,NUWTP,GNDOR
14.94,NUTTP,HDBTP
14.94,NUWTP,HDBTP
1.84,NUTTP,NMSTP
1.84,NUWTP,NMSTP
12.68,NUTTP,CZMTP
12.68,NUWTP,CZMTP
7.21,NUTTP,GDRTP
7.21,NUWTP,GDRTP
4.24,NUTTP,GHMTP
4.24,NUWTP,GHMTP
5.23,NUTTP,GLUTP
5.23,NUWTP,GLUTP
6.33,NUTTP,GNOOR
6.33,NUWTP,GNOOR
14.35,NUTTP,HPCTP
14.35,NUWTP,HPCTP
0.97,NUTTP,NNYTP
0.97,NUWTP,NNYTP
1.87,NUTTP,BBRTP
1.87,NUWTP,BBRTP
2.01,NUTTP,GAKTP
2.01,NUWTP,GAKTP
2.05,NUTTP,GDUTP
2.05,NUWTP,GDUTP
3.8,NUTTP,GHOTP
3.8,NUWTP,GHOTP
4.54,NUTTP,GMATP
4.54,NUWTP,GMATP
1.75,NUTTP,GNWOR
1.75,NUWTP,GNWOR
14.25,NUTTP,HSZTP
14.25,NUWTP,HSZTP
0.75,NUTTP,NRDTP
0.75,NUWTP,NRDTP
1.8,AKTTP,AGATP
11.84,AKTTP,BGETP
4.74,AKTTP,GAUTP
9.88,AKTTP,GESTP
8.19,AKTTP,GHSTP
3.91,AKTTP,GMHTP
7.86,AKTTP,GOSOR
4.92,AKTTP,HUNOR
11.91,AKTTP,NRSTP
4.48,AKTTP,AIBTP
11.18,AKTTP,BLATP
9.98,AKTTP,GBBTP
7.41,AKTTP,GFDTP
7.38,AKTTP,GJETP
8.06,AKTTP,GMIOR
9.34,AKTTP,LLXTP
11.4,AKTTP,NUTTP
11.4,AKTTP,NUWTP
0,AKTTP,AKTTP
11,AKTTP,BLETP
11,AKTTP,BLMTP
9.19,AKTTP,GBCTP
7.76,AKTTP,GFMTP
11.96,AKTTP,GKITP
4.07,AKTTP,GMLTP
10.79,AKTTP,GROTP
11.65,AKTTP,NAETP
1.37,AKTTP,SLOTP
3.28,AKTTP,AOETP
10.7,AKTTP,BLGTP
9.2,AKTTP,GBETP
7.95,AKTTP,GFRTP
9.42,AKTTP,GKKTP
10.21,AKTTP,GMNTP
6.19,AKTTP,GSTTP
11.78,AKTTP,NAVTP
3.3,AKTTP,AOLTP
2.68,AKTTP,CHROR
10.77,AKTTP,GBMTP
8.07,AKTTP,GGITP
9.42,AKTTP,GKLTP
8.41,AKTTP,GMRTP
6.45,AKTTP,GTUTP
11.8,AKTTP,NAMTP
11.8,AKTTP,NAWTP
3.48,AKTTP,AWDTP
5.04,AKTTP,COSTP
9.31,AKTTP,GBOTP
7.92,AKTTP,GHATP
9.3,AKTTP,GKMTP
8.09,AKTTP,GMZTP
6.68,AKTTP,GWZTP
11.68,AKTTP,NGRTP
3.37,AKTTP,AWGTP
2.71,AKTTP,CRITP
6.26,AKTTP,GBWOR
7.35,AKTTP,GHBTP
8.05,AKTTP,GKSTP
5.69,AKTTP,GNBTP
5.01,AKTTP,HBSTP
12.04,AKTTP,NLBTP
11.31,AKTTP,BANTP
2.6,AKTTP,CZATP
4.07,AKTTP,GBYOR
11.23,AKTTP,GHGTP
7.92,AKTTP,GLPTP
9.77,AKTTP,GNDOR
7.12,AKTTP,HDBTP
10.24,AKTTP,NMSTP
2.65,AKTTP,CZMTP
7.74,AKTTP,GDRTP
8.55,AKTTP,GHMTP
11.41,AKTTP,GLUTP
9.12,AKTTP,GNOOR
5.31,AKTTP,HPCTP
10.86,AKTTP,NNYTP
11.45,AKTTP,BBRTP
9.98,AKTTP,GAKTP
9.67,AKTTP,GDUTP
9.8,AKTTP,GHOTP
7.39,AKTTP,GMATP
9.95,AKTTP,GNWOR
6.47,AKTTP,HSZTP
11.98,AKTTP,NRDTP
10.74,BLETP,AGATP
10.74,BLMTP,AGATP
0.88,BLETP,BGETP
0.88,BLMTP,BGETP
6.87,BLETP,GAUTP
6.87,BLMTP,GAUTP
2.24,BLETP,GESTP
2.24,BLMTP,GESTP
3.63,BLETP,GHSTP
3.63,BLMTP,GHSTP
7.62,BLETP,GMHTP
7.62,BLMTP,GMHTP
6.91,BLETP,GOSOR
6.91,BLMTP,GOSOR
12.57,BLETP,HUNOR
12.57,BLMTP,HUNOR
1.67,BLETP,NRSTP
1.67,BLMTP,NRSTP
8.71,BLETP,AIBTP
8.71,BLMTP,AIBTP
0.29,BLETP,BLATP
0.29,BLMTP,BLATP
2.39,BLETP,GBBTP
2.39,BLMTP,GBBTP
4.78,BLETP,GFDTP
4.78,BLMTP,GFDTP
6.16,BLETP,GJETP
6.16,BLMTP,GJETP
3.73,BLETP,GMIOR
3.73,BLMTP,GMIOR
2.31,BLETP,LLXTP
2.31,BLMTP,LLXTP
1.95,BLETP,NUTTP
1.95,BLETP,NUWTP
1.95,BLMTP,NUTTP
1.95,BLMTP,NUWTP
10.91,BLETP,AKTTP
10.91,BLMTP,AKTTP
0,BLETP,BLETP
0,BLETP,BLMTP
0,BLMTP,BLETP
0,BLMTP,BLMTP
7.37,BLETP,GBCTP
7.37,BLMTP,GBCTP
3.75,BLETP,GFMTP
3.75,BLMTP,GFMTP
6.82,BLETP,GKITP
6.82,BLMTP,GKITP
7.5,BLETP,GMLTP
7.5,BLMTP,GMLTP
7.49,BLETP,GROTP
7.49,BLMTP,GROTP
2.18,BLETP,NAETP
2.18,BLMTP,NAETP
11.5,BLETP,SLOTP
11.5,BLMTP,SLOTP
9.06,BLETP,AOETP
9.06,BLMTP,AOETP
0.98,BLETP,BLGTP
0.98,BLMTP,BLGTP
7.4,BLETP,GBETP
7.4,BLMTP,GBETP
5.57,BLETP,GFRTP
5.57,BLMTP,GFRTP
1.9,BLETP,GKKTP
1.9,BLMTP,GKKTP
3.26,BLETP,GMNTP
3.26,BLMTP,GMNTP
5.67,BLETP,GSTTP
5.67,BLMTP,GSTTP
2.26,BLETP,NAVTP
2.26,BLMTP,NAVTP
9.07,BLETP,AOLTP
9.07,BLMTP,AOLTP
12.51,BLETP,CHROR
12.51,BLMTP,CHROR
5,BLETP,GBMTP
5,BLMTP,GBMTP
3.59,BLETP,GGITP
3.59,BLMTP,GGITP
1.9,BLETP,GKLTP
1.9,BLMTP,GKLTP
3.99,BLETP,GMRTP
3.99,BLMTP,GMRTP
5.97,BLETP,GTUTP
5.97,BLMTP,GTUTP
2.31,BLETP,NAMTP
2.31,BLETP,NAWTP
2.31,BLMTP,NAMTP
2.31,BLMTP,NAWTP
10.51,BLETP,AWDTP
10.51,BLMTP,AWDTP
14.51,BLETP,COSTP
14.51,BLMTP,COSTP
2.15,BLETP,GBOTP
2.15,BLMTP,GBOTP
6.54,BLETP,GHATP
6.54,BLMTP,GHATP
1.98,BLETP,GKMTP
1.98,BLMTP,GKMTP
3.71,BLETP,GMZTP
3.71,BLMTP,GMZTP
4.89,BLETP,GWZTP
4.89,BLMTP,GWZTP
3.87,BLETP,NGRTP
3.87,BLMTP,NGRTP
10.63,BLETP,AWGTP
10.63,BLMTP,AWGTP
12.83,BLETP,CRITP
12.83,BLMTP,CRITP
5.6,BLETP,GBWOR
5.6,BLMTP,GBWOR
4.5,BLETP,GHBTP
4.5,BLMTP,GHBTP
3.76,BLETP,GKSTP
3.76,BLMTP,GKSTP
5.84,BLETP,GNBTP
5.84,BLMTP,GNBTP
12.69,BLETP,HBSTP
12.69,BLMTP,HBSTP
2.12,BLETP,NLBTP
2.12,BLMTP,NLBTP
0.64,BLETP,BANTP
0.64,BLMTP,BANTP
12.4,BLETP,CZATP
12.4,BLMTP,CZATP
7.49,BLETP,GBYOR
7.49,BLMTP,GBYOR
6.04,BLETP,GHGTP
6.04,BLMTP,GHGTP
6.96,BLETP,GLPTP
6.96,BLMTP,GLPTP
4.81,BLETP,GNDOR
4.81,BLMTP,GNDOR
14.69,BLETP,HDBTP
14.69,BLMTP,HDBTP
1.07,BLETP,NMSTP
1.07,BLMTP,NMSTP
12.46,BLETP,CZMTP
12.46,BLMTP,CZMTP
7.6,BLETP,GDRTP
7.6,BLMTP,GDRTP
4.72,BLETP,GHMTP
4.72,BLMTP,GHMTP
6.52,BLETP,GLUTP
6.52,BLMTP,GLUTP
7.37,BLETP,GNOOR
7.37,BLMTP,GNOOR
14.13,BLETP,HPCTP
14.13,BLMTP,HPCTP
2.06,BLETP,NNYTP
2.06,BLMTP,NNYTP
0.53,BLETP,BBRTP
0.53,BLMTP,BBRTP
1.24,BLETP,GAKTP
1.24,BLMTP,GAKTP
1.94,BLETP,GDUTP
1.94,BLMTP,GDUTP
4.89,BLETP,GHOTP
4.89,BLMTP,GHOTP
4.34,BLETP,GMATP
4.34,BLMTP,GMATP
2.24,BLETP,GNWOR
2.24,BLMTP,GNWOR
14.02,BLETP,HSZTP
14.02,BLMTP,HSZTP
1.71,BLETP,NRDTP
1.71,BLMTP,NRDTP
8.58,GBCTP,AGATP
7.93,GBCTP,BGETP
5.87,GBCTP,GAUTP
5.31,GBCTP,GESTP
7.02,GBCTP,GHSTP
5.78,GBCTP,GMHTP
1.79,GBCTP,GOSOR
8.48,GBCTP,HUNOR
7.06,GBCTP,NRSTP
7.39,GBCTP,AIBTP
7.46,GBCTP,BLATP
5.13,GBCTP,GBBTP
4.67,GBCTP,GFDTP
2.7,GBCTP,GJETP
5.91,GBCTP,GMIOR
7.91,GBCTP,LLXTP
6.44,GBCTP,NUTTP
6.44,GBCTP,NUWTP
9.15,GBCTP,AKTTP
7.24,GBCTP,BLETP
7.24,GBCTP,BLMTP
0,GBCTP,GBCTP
5.63,GBCTP,GFMTP
3.64,GBCTP,GKITP
5.92,GBCTP,GMLTP
2.45,GBCTP,GROTP
6.63,GBCTP,NAETP
9.81,GBCTP,SLOTP
6.46,GBCTP,AOETP
7.16,GBCTP,BLGTP
0.32,GBCTP,GBETP
7.93,GBCTP,GFRTP
5.85,GBCTP,GKKTP
4.86,GBCTP,GMNTP
6.63,GBCTP,GSTTP
6.7,GBCTP,NAVTP
6.44,GBCTP,AOLTP
10.32,GBCTP,CHROR
3.9,GBCTP,GBMTP
5.23,GBCTP,GGITP
5.77,GBCTP,GKLTP
